"product_category_name","avg_price","max_price","min_price"
"pcs","1098.34","6729.00","34.50"
"portateis_casa_forno_e_cafe","624.29","2899.00","10.19"
"eletrodomesticos_2","476.12","2350.00","13.90"
"agro_industria_e_comercio","342.12","2990.00","12.99"
"instrumentos_musicais","281.62","4399.87","4.90"
"eletroportateis","280.78","4799.00","6.50"
"portateis_cozinha_e_preparadores_de_alimentos","264.57","1099.00","17.42"
"telefonia_fixa","225.69","1790.00","6.00"
"construcao_ferramentas_seguranca","208.99","3099.90","8.90"
"relogios_presentes","201.14","3999.90","8.99"
