date,predicted_revenue,lower_bound,upper_bound
2018-09-01,19617.03,3449.83,36367.57
2018-09-02,23785.9,7093.5,39805.08
2018-09-03,43532.98,27038.99,60174.56
2018-09-04,44352.09,27872.48,60393.77
2018-09-05,43082.07,26888.39,58160.81
2018-09-06,44117.92,27610.24,60720.29
2018-09-07,43650.7,28155.88,59783.72
2018-09-08,29399.36,12535.55,44740.06
2018-09-09,34060.66,17884.1,50499.99
2018-09-10,54225.6,38725.32,71394.67
2018-09-11,55175.41,40093.47,71368.53
2018-09-12,53860.96,38722.75,70013.21
2018-09-13,54714.66,38761.18,70806.01
2018-09-14,53916.78,38465.76,70224.8
2018-09-15,39125.44,23357.74,55774.88
2018-09-16,43258.41,27077.54,59946.07
2018-09-17,62904.32,47919.47,77848.52
2018-09-18,63148.88,47020.78,80488.7
2018-09-19,61068.84,44615.43,77536.78
2018-09-20,61144.41,44625.61,76387.06
2018-09-21,59551.77,44436.09,75012.15
2018-09-22,43891.1,27743.62,58865.48
2018-09-23,47300.23,31436.79,63449.42
2018-09-24,66360.81,49509.32,84066.44
2018-09-25,65954.88,50085.78,82269.26
2018-09-26,63273.73,46645.17,80162.93
2018-09-27,62831.23,47404.25,78952.6
2018-09-28,60782.98,44735.0,76845.38
2018-09-29,44652.92,28596.5,60844.24
2018-09-30,47779.48,31438.2,63236.74
2018-10-01,66717.24,49087.24,81341.61
2018-10-02,66124.57,50790.71,83004.21
2018-10-03,63287.98,45672.94,78240.11
2018-10-04,62737.01,46425.34,79297.96
2018-10-05,60590.61,45492.66,77150.81
2018-10-06,44282.82,27345.61,59211.12
2018-10-07,47341.89,30643.07,62505.63
2018-10-08,66287.85,50513.73,83340.73
2018-10-09,65551.42,49124.04,82167.7
2018-10-10,62514.05,46997.08,78813.75
2018-10-11,61724.44,45002.58,78394.9
2018-10-12,59272.06,44060.44,76353.56
2018-10-13,42511.74,25222.93,59609.5
2018-10-14,45175.51,29052.75,63072.78
2018-10-15,63765.57,48322.78,80606.24
2018-10-16,62504.08,45953.65,79109.7
2018-10-17,58888.32,42961.11,74675.25
2018-10-18,57508.11,41906.28,73136.9
2018-10-19,54445.85,38707.6,69323.81
2018-10-20,36999.28,22328.85,53271.85
2018-10-21,39125.23,22528.09,54979.54
2018-10-22,57327.36,41384.08,74481.06
2018-10-23,55636.13,39216.43,70962.06
2018-10-24,51678.28,36471.22,67507.44
2018-10-25,50094.77,34121.98,66067.12
2018-10-26,46966.71,29583.99,62750.08
2018-10-27,29536.0,13044.66,46387.25
2018-10-28,31980.66,15424.8,48637.49
2018-10-29,50797.27,35025.07,67984.68
2018-10-30,49810.99,34010.65,67273.79
2018-10-31,46759.72,30360.07,62838.68
2018-11-01,46312.63,28330.8,63029.69
2018-11-02,44522.55,28125.23,60649.91
2018-11-03,28544.92,12168.41,45460.72
2018-11-04,32745.46,16149.27,48915.74
2018-11-05,53578.01,39000.21,70451.05
2018-11-06,54625.52,37804.26,70203.45
2018-11-07,53699.71,36666.13,69916.22
2018-11-08,55461.25,40247.79,72127.06
2018-11-09,55899.5,39361.24,71323.25
2018-11-10,42050.76,26132.82,58712.21
2018-11-11,48439.24,31828.51,65010.64
2018-11-12,71451.14,55708.75,87206.66
2018-11-13,74407.41,59303.48,90910.1
2018-11-14,75179.62,58036.52,92376.11
2018-11-15,78412.29,61590.22,93143.89
2018-11-16,80030.45,64319.46,96791.3
2018-11-17,66957.47,50920.74,84278.81
2018-11-18,73889.37,56835.38,89509.21
2018-11-19,97165.1,81413.46,113260.49
2018-11-20,99870.8,84229.33,116296.75
2018-11-21,99971.47,82895.9,114529.36
2018-11-22,102134.88,85158.43,117561.31
2018-11-23,102266.18,86964.64,118691.67
2018-11-24,87224.45,70559.95,102858.57
2018-11-25,91929.35,75302.85,108299.21
2018-11-26,112726.51,95533.18,128247.8
2018-11-27,112522.11,97437.02,130229.22
